Titulo,Fabricante,preco,loja,tipo_produto,quantidade_unidades,peso_gramas,faixa_peso,preco_100g,preco_500g,preco_unidade
Café em Grãos Gourmet Toledo 500g,Café Toledo,65.99,Mambo,graos,,500.0,251g_500g,13.198,65.99,
Café em Grãos Gourmet Santa Mônica 250g,Santa Mônica,43.49,Mambo,graos,,250.0,101g_250g,17.396,86.98,
Café Torrado e Moído Gourmet Mogiana Paulista 3 Corações 250g,3 Corações,25.99,Mambo,tradicional,,250.0,101g_250g,10.396,51.98,
Café Torrado e Moído Gourmet Regiões Brasileiras Cerrado Melitta 250g,Melitta,24.99,Mambo,tradicional,,250.0,101g_250g,9.996,49.98,
Cápsula de Café Gourmet Santa Mônica 50g com 12 Unidades,Santa Mônica,31.98,Mambo,capsula,12.0,50.0,ate_100g,63.96,319.8,2.665
Café Torrado e Moído Gourmet Santa Mônica 250g,Santa Mônica,43.98,Mambo,tradicional,,250.0,101g_250g,17.592,87.96,
Café Torrado e Moído Intenso a Vácuo Pilão 500g,Pilão,43.49,Mambo,tradicional,,500.0,251g_500g,8.698,43.49,
Café Torrado e Moído Intenso Pilão 500g,Pilão,43.49,Mambo,tradicional,,500.0,251g_500g,8.698,43.49,
Cápsula de Café Intenso Orfeu 50g com 10 Unidades,Orfeu,26.99,Mambo,capsula,10.0,50.0,ate_100g,53.98,269.9,2.699
Cápsula de Café Intenso Santa Mônica 50g com 12 Unidades,Santa Mônica,31.98,Mambo,capsula,12.0,50.0,ate_100g,63.96,319.8,2.665
Cápsula de Café Milão Italle 50g com 10 Unidades,Italle,13.99,Mambo,capsula,10.0,50.0,ate_100g,27.98,139.9,1.399
Café Torrado e Moído Aromas Caramelo Baggio 250g,Baggio,46.49,Mambo,tradicional,,250.0,101g_250g,18.596,92.98,
Café Torrado e Moído Orgânico a Vácuo Cia Orgânica 250g,Cia Organica,48.98,Mambo,tradicional,,250.0,101g_250g,19.592,97.96,
Cápsula de Café Orgânico Biodinâmico Cia Orgânica 50g com 10 Unidades,Cia Organica,51.98,Mambo,capsula,10.0,50.0,ate_100g,103.96,519.8,5.198
Cápsula de Café Orgânico Cia Orgânica 50g com 10 Unidades,Cia Organica,47.49,Mambo,capsula,10.0,50.0,ate_100g,94.98,474.9,4.749
Café em Grãos Orgânico Cia Orgânica 250g,Cia Organica,47.98,Mambo,graos,,250.0,101g_250g,19.192,95.96,
Cápsula de Café Orgânico Orfeu 50g com 10 Unidades,Orfeu,36.98,Mambo,capsula,10.0,50.0,ate_100g,73.96,369.8,3.698
Café em Grãos Orgânico Rituais 3 Corações 250g,3 Corações,33.99,Mambo,graos,,250.0,101g_250g,13.596,67.98,
Café Torrado e Moído Pike Place Roast Starbucks & Nescafé 250g,Starbucks,48.98,Mambo,tradicional,,250.0,101g_250g,19.592,97.96,
Cápsula de Café Pike Place Roast Starbucks & Nespresso com 10 Unidades,Nescafé,32.98,Mambo,capsula,10.0,,sem_peso,,,3.298
Café Torrado e Moído Estrada Real Vácuo 500g,3 Corações,33.99,Mambo,tradicional,,500.0,251g_500g,6.798,33.99,
Cápsula de Café Qalidus Delta 55g com 10 Unidades,Delta Q,28.49,Mambo,capsula,10.0,55.0,ate_100g,51.8,259.0,2.849
